s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
1.2,0.0,baseline,capacity_reduction,0.25,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.0,baseline,capacity_reduction,0.5,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.0,baseline,capacity_reduction,0.75,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.0,matched_redundancy,blocked,,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.0,matched_redundancy,capacity_reduction,0.25,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.0,matched_redundancy,capacity_reduction,0.5,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.0,matched_redundancy,capacity_reduction,0.75,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,baseline,blocked,,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,baseline,capacity_reduction,0.25,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,baseline,capacity_reduction,0.5,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,baseline,capacity_reduction,0.75,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,matched_redundancy,blocked,,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,matched_redundancy,capacity_reduction,0.25,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,matched_redundancy,capacity_reduction,0.5,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
1.2,0.25,matched_redundancy,capacity_reduction,0.75,-29.998694104812785,0.0,30,-29.998694104812785,-29.998694104812785,30,0
