network_variant,failure_mode,capacity_reduction_factor,s,p_fail_scale,bus_makespan_mean,multi_makespan_mean,delta_mean,bus_sr_mean,multi_sr_mean,bus_leftover_mean,multi_leftover_mean,bus_penalized_makespan_mean,multi_penalized_makespan_mean,delta_penalized_makespan_mean,bus_success_count_mean,multi_success_count_mean,bus_completion_rate_mean,multi_completion_rate_mean,delta_completion_rate_mean,bus_censored_count_mean,multi_censored_count_mean,bus_resource_eff_mean,multi_resource_eff_mean,delta_resource_eff_mean,bus_total_personnel_mean,multi_total_personnel_mean,bus_bus_trips_mean,multi_bus_trips_mean,bus_train_trips_mean,multi_train_trips_mean,bus_bus_minutes_mean,multi_bus_minutes_mean,bus_train_minutes_mean,multi_train_minutes_mean,bus_lastmile_minutes_mean,multi_lastmile_minutes_mean,bus_lastmile_vehicle_minutes_mean,multi_lastmile_vehicle_minutes_mean,bus_road_vehicle_service_minutes_mean,multi_road_vehicle_service_minutes_mean,bus_train_service_minutes_mean,multi_train_service_minutes_mean,bus_total_service_minutes_mean,multi_total_service_minutes_mean,bus_passenger_travel_minutes_mean,multi_passenger_travel_minutes_mean,bus_passengers_per_vehicle_minute_mean,multi_passengers_per_vehicle_minute_mean,bus_passengers_per_total_service_minute_mean,multi_passengers_per_total_service_minute_mean,delta_std,delta_penalized_makespan_std,delta_completion_rate_std,delta_resource_eff_std,delta_road_vehicle_service_minutes_std,delta_train_service_minutes_std,delta_total_service_minutes_std,delta_passenger_travel_minutes_std,delta_passengers_per_vehicle_minute_std,delta_passengers_per_total_service_minute_std
baseline,blocked,,1.2,3.0,642.1124350181012,710.9585883729338,-69.57582390506468,0.2,0.1,800.0,900.0,1153280.4224870035,1297367.0958588372,-144086.6733718337,200.0,100.0,0.2,0.1,0.1,800.0,900.0,0.18462,0.0762,0.10842,1000.0,1000.0,4.6,16.1,0.0,6.1,216.717,55.81700000000001,0.0,366.0,0.0,59.705,0.0,59.705,216.717,115.52100000000003,0.0,366.0,216.717,481.5210000000001,9422.466,47022.669,0.18462,0.12014,0.18462,0.0762,,455617.6224037789,0.31622776601683794,0.2865762717943612,303.45641283936203,253.69272752682525,364.53917186863015,28949.650631274773,0.3080470267129139,0.2865762717943612
baseline,blocked,,1.5,0.0,637.5254323200936,696.0360210968563,-58.510588776762575,1.0,1.0,0.0,0.0,637.5254323200936,696.0360210968563,-58.510588776762575,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0223999999999998,0.9479000000000001,0.07450000000000001,1000.0,1000.0,23.0,23.0,0.0,9.0,978.0800000000002,31.190000000000005,0.0,540.0,0.0,483.82,0.0,483.82,978.0800000000002,515.0200000000001,0.0,540.0,978.0800000000002,1055.02,42525.229999999996,82392.02,1.0223999999999998,1.9417000000000002,1.0223999999999998,0.9479000000000001,0.0,0.0,0.0,0.0,5.99182245303757e-14,0.0,0.0,7.66953273988809e-12,0.0,0.0
baseline,blocked,,1.5,0.25,637.6278671672505,697.596812283035,-59.96894511578432,0.9,0.9,100.0,100.0,144717.86508045052,144771.83713105475,-53.97205060420589,900.0,900.0,0.9,0.9,0.0,100.0,100.0,0.9179599999999999,0.82677,0.09119,1000.0,1000.0,20.7,23.0,0.0,9.0,882.392,31.190000000000005,0.0,540.0,0.0,467.74699999999996,0.0,467.74699999999996,882.392,498.94500000000005,0.0,540.0,882.392,1038.9450000000002,38364.89200000001,81693.13200000001,0.9179599999999999,1.6468500000000001,0.9179599999999999,0.82677,2.3924605664854397,19.097521307947154,0.0,0.05323665090893676,154.65002885008892,0.0,154.65002885008897,6723.985596587123,0.3017054503614043,0.05323665090893676
baseline,blocked,,1.5,0.5,637.701372199437,697.3428584978625,-59.64148629842542,0.7,0.7,300.0,300.0,432878.3909605397,432920.1400009485,-41.74904040889779,700.0,700.0,0.7,0.7,0.0,300.0,300.0,0.71275,0.6463399999999999,0.06641000000000001,1000.0,1000.0,16.1,20.7,0.0,8.1,687.4889999999999,28.071000000000005,0.0,486.0,0.0,359.71400000000006,0.0,359.71400000000006,687.4889999999999,387.79200000000003,0.0,486.0,687.4889999999999,873.792,29890.812000000005,70860.42400000001,0.71275,1.2933700000000001,0.71275,0.6463399999999999,2.368045775530465,28.874383705455962,0.0,0.058813499017374114,225.74578741239992,170.7629936490925,210.1369090246748,16810.654825829824,0.4224364062593722,0.058813499017374114
baseline,blocked,,1.5,1.0,638.2316523132469,697.8935062134525,-59.721140528266666,0.6,0.5,400.0,500.0,576958.938991388,721068.9467531068,-144110.0077617188,600.0,500.0,0.6,0.5,0.1,400.0,500.0,0.60351,0.45647000000000004,0.14704,1000.0,1000.0,13.8,20.7,0.0,8.1,596.595,28.071000000000005,0.0,486.0,0.0,263.2710000000001,0.0,263.2710000000001,596.595,291.34700000000004,0.0,486.0,596.595,777.3470000000001,25938.852000000003,66667.209,0.60351,0.9038299999999999,0.60351,0.45647000000000004,2.93505513370713,455610.9397730369,0.31622776601683794,0.30534349764741275,329.52312614173564,170.7629936490925,317.9869976307557,19705.599625469717,0.6183858608416666,0.30534349764741275
baseline,blocked,,1.5,1.5,638.8976759693671,702.6773261691487,-63.59292795072334,0.4,0.3,600.0,700.0,865119.5590703879,1009218.8031978508,-144099.24412746303,400.0,300.0,0.4,0.3,0.1,600.0,700.0,0.39624,0.25589999999999996,0.14034,1000.0,1000.0,9.2,18.4,0.0,6.9,403.85699999999997,67.264,0.0,414.0,0.0,156.471,0.0,156.471,403.85699999999997,223.73600000000002,0.0,414.0,403.85699999999997,637.7360000000001,17558.981,57727.683000000005,0.39624,0.43392,0.39624,0.25589999999999996,2.8272212514317703,455614.78870780196,0.31622776601683794,0.31027111155675885,320.64112155527124,219.90907211845536,336.9602085789293,25010.275192538054,0.4282017146678005,0.31027111155675885
baseline,blocked,,1.5,2.0,640.1447699474496,705.9599363137339,-66.78016322283077,0.3,0.1,700.0,900.0,1009200.0434309843,1297366.5959936313,-288166.55256264715,300.0,100.0,0.3,0.1,0.2,700.0,900.0,0.28901,0.0813,0.20771,1000.0,1000.0,6.9,16.1,0.0,6.1,311.497,47.579,0.0,366.0,0.0,59.70700000000001,0.0,59.70700000000001,311.497,107.28600000000002,0.0,366.0,311.497,473.28600000000006,13543.351,46664.634000000005,0.28901,0.13334,0.28901,0.0813,,607490.8366230926,0.42163702135578396,0.39643090879047815,404.2606539914014,253.69272752682525,405.30287814450844,28174.238182688987,0.43413456963890307,0.39643090879047815
baseline,blocked,,1.5,3.0,642.1140399855492,710.9599363137339,-69.57547578891092,0.2,0.1,800.0,900.0,1153280.422807997,1297367.0959936313,-144086.67318563425,200.0,100.0,0.2,0.1,0.1,800.0,900.0,0.18462,0.0762,0.10842,1000.0,1000.0,4.6,16.1,0.0,6.1,216.724,55.819,0.0,366.0,0.0,59.70700000000001,0.0,59.70700000000001,216.724,115.52600000000002,0.0,366.0,216.724,481.526,9422.756,47022.893,0.18462,0.12014,0.18462,0.0762,,455617.62193727505,0.31622776601683794,0.2865762717943612,303.4625075432622,253.69272752682525,364.54355041765746,28949.753156098297,0.3080470267129139,0.2865762717943612
baseline,blocked,,2.0,0.0,637.5299282056419,696.0398413597513,-58.50991315410954,1.0,1.0,0.0,0.0,637.5299282056419,696.0398413597513,-58.50991315410954,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,1.0223,0.9478000000000002,0.07450000000000001,1000.0,1000.0,23.0,23.0,0.0,9.0,978.1699999999998,31.2,0.0,540.0,0.0,483.8999999999999,0.0,483.8999999999999,978.1699999999998,515.1000000000001,0.0,540.0,978.1699999999998,1055.1,42529.3,82395.69999999998,1.0223,1.9414000000000002,1.0223,0.9478000000000002,0.0,0.0,0.0,0.0,5.99182245303757e-14,0.0,0.0,7.66953273988809e-12,0.0,0.0
baseline,blocked,,2.0,0.25,637.632548059939,697.6009681627987,-59.968420102859646,0.9,0.9,100.0,100.0,144717.86929325393,144771.8408713465,-53.97157809257368,900.0,900.0,0.9,0.9,0.0,100.0,100.0,0.91787,0.8266899999999999,0.09118000000000001,1000.0,1000.0,20.7,23.0,0.0,9.0,882.4779999999998,31.2,0.0,540.0,0.0,467.8259999999999,0.0,467.8259999999999,882.4779999999998,499.02400000000006,0.0,540.0,882.4779999999998,1039.0240000000001,38368.704,81696.73999999999,0.91787,1.6466,0.91787,0.8266899999999999,2.3930582465442165,19.097423010682707,0.0,0.05322344512628913,154.65948943117297,0.0,154.65948943117303,6724.3030402384475,0.30164173396044963,0.05322344512628913
baseline,blocked,,2.0,0.5,637.706103971397,697.3469755550612,-59.64087158366414,0.7,0.7,300.0,300.0,432878.39427277993,432920.1428828885,-41.748610108564904,700.0,700.0,0.7,0.7,0.0,300.0,300.0,0.71268,0.64628,0.06640000000000001,1000.0,1000.0,16.1,20.7,0.0,8.1,687.556,28.079999999999995,0.0,486.0,0.0,359.775,0.0,359.775,687.556,387.854,0.0,486.0,687.556,873.854,29893.809,70863.23499999999,0.71268,1.29317,0.71268,0.64628,2.368732671618825,28.874124998116514,0.0,0.058796863106045975,225.75603074508942,170.7629936490925,210.1464856184319,16810.77706964606,0.4223455784859913,0.058796863106045975
